FS_ID,FS_NAME,KOD,ForForm
1,"Федеральная собственность",12,1
2,"Собственность субъектов Российской Федерации",13,1
3,"Муниципальная собственность",14,1
4,"Частная собственность",16,0
5,"Собственность российских граждан, постоянно проживающих за границей",18,0
6,"Собственность потребительской кооперации",19,0
7,"Собственность международных организаций",21,0
8,"Собственность иностранных государств",22,0
9,"Собственность иностранных юридических лиц",23,0
10,"Собственность иностранных граждан и лиц без гражданства",24,0
11,"Смешанная иностранная собственность",27,0
12,"Совместная федеральная и иностранная собственность",31,0
13,"Совместная собственность субъектов РФ и иностранная собственность",32,0
14,"Совместная муниципальная и иностранная собственность",33,0
15,"Совместная частная и иностранная собственность",34,0
16,"Совместная собственность общественных и религиозных организаций (объединений) и иностранная собств.",35,0
17,"Смешанная российская собственность с долей федеральной собственности",41,0
18,"Смешанная российская собственность с долей собственности субъектов РФ",42,0
19,"Смешанная российская собственность с долями федеральной собственности и собственности субъектов РФ",43,0
20,"Иная смешанная российская собственность",49,0
21,"Собственность благотворительных организаций",50,0
22,"Собственность политических общественных объединений",51,0
23,"Собственность профессиональных союзов",52,0
24,"Собственность общественных объединений",53,0
25,"Собственность религиозных объединений",54,0
